Provinsi,Tahun,Jumlah_Air_Bersih,Kapasitas_Produksi_Potensial_Perusahaan_Air_Bersih,Kapasitas_Produksi_Efektif,Efektifitas_Produksi_Air_Bersih_Perusahaan_Air_Bersih,Jumlah_Pekerja_Perusahaan_Air_Bersih,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Tingkat_SLTA,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Sampai_Dengan_Tingkat_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_Tingkat_SLTA,Balas_Jasa_Karyawan_Perusahaan_Air_Bersih,Biaya_Bahan_Bakar_dan_Pelumas_yang_Digunakan_Perusahaan_Air_Bersih,Biaya_Listrik_Perusahaan_Air_Bersih,Biaya_Bahan-Bahan_Kimia_Perusahaan_Air_Bersih,Biaya_Penggunaan_Alat_Tulis_dan_Keperluan_Kantor_Perusahaan_Air_Bersih,Biaya_Penggunaan_Suku_Cadang_dan_Pemeliharaan_Kecil_Barang_Modal_Perusahaan_Air_Bersih,Biaya_Sewa_Bangunan_Mesin_Alat-alat_dan_Kendaraan_Perusahaan_Air_Bersih,Biaya_Jasa_jasa_Pengeluaran_Lainnya_Perusahaan_Air_Bersih,Biaya_Operasional_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Sosial_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Non_Niaga_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Khusus_dan_Pelanggan_Lainnya,Volume_Air_Bersih_yang_Disalurkan_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelanggan_Lainnya_Perusahaan_Air_Bersih,"Nilai_Air_Bersih_Yang_Disalurkan_Perusahaan_Air_Bersih                                               
Kepulauan Riau,2022,14,4.847,4.248,"87,64",890,347,113,430,240,190,114.613,1.870,"76,799","25,582","1,448","3,868","9,763","21,008","44,498","334,543","2,882","284,904","46,733",24,"95,179","3,046","67,483","21,491",10,"545,739","6,454","304,289","234,921",75,76.867
DKI Jakarta,2022,7,20.967,20.253,"96,59",2.067,746,426,895,327,568,472.960,3.024,"172,372","39,004","3,995","4,475","16,428","138,58","608,112","969,512","6,41","831,17","131,921",11,"507,981","6,591","266,29","97,489","1,456",2.950.367,"9,744",1.797.839,1.123.577,"19,206",69.004
Jawa Barat,2022,22,24.428,19.182,"78,52",7.675,2.468,761,4.446,2.740,1.706,825.085,7.224,"119,426","107,57","19,678","14,592","6,149","50,91","448,46",2.034.772,"28,239",1.907.467,"97,547","1,519","429,705","9,384","312,851","29,242","12,182",2.547.504,"27,504",2.101.353,"354,753","63,893",194.440
Jawa Tengah,2022,42,35.605,27.341,"76,79",6.826,2.601,1.013,3.212,1.656,1.556,593.381,10.475,"119,934","50,203","15,985","14,309","11,493","104,456","392,044",1.941.552,"31,105",1.823.505,"77,036","9,906","520,152","14,15","382,707","27,16","4,824",1.941.261,"29,863",1.631.587,"255,668","24,143",228.198
D.I Yogyakarta,2022,6,2.793,2.318,"82,99",869,389,77,403,268,135,79.080,1.575,"49,119","7,115","1,09","1,357","1,089","9,778","42,612","215,962","3,672","207,865","3,004","1,421","50,153",969,"35,971","1,699",573,"227,541","3,796","199,107","21,178","3,459",15.983
Jawa Timur,2022,38,31.495,27.330,"86,78",6.476,2.644,741,3.091,1.988,1.103,584.839,11.959,"350,957","59,795","5,058","8,135","10,916","92,31","599,538",2.422.452,"34,706",2.254.753,"122,549","10,444","742,968","16,706","472,585","72,297","19,577",2.318.402,"32,836",1.634.315,"567,729","83,522",244.367
Banten,2022,9,11.954,9.712,"81,24",1.439,371,158,910,504,406,188.643,1.859,"69,421","22,368","1,705","6,242","33,251","191,617","325,168","384,725","3,444","358,913","22,265",103,"247,608","1,636","86,459","49,242","105,269",1.339.461,"4,504","498,858","480,748","355,351",34.218
Bali,2022,20,9.254,7.990,"86,34",2.229,1.058,194,977,744,233,219.016,3.211,"111,989","23,493","2,519","6,838","2,003","35,233","121,356","488,13","8,779","433,196","45,556",599,"147,862","2,381","103,549","12,539","1,175","629,845","8,306","476,862","128,157","16,52",86.984
Nusa Tenggara Barat,2022,8,4.453,3.350,"75,23",1.267,482,194,591,400,191,93.677,1.531,"7,176","5,934",818,362,"2,084","17,637","16,807","553,75","10,483","529,01","13,243","1,014","81,898","1,749","54,289","2,432",740,"246,721","4,982","215,639","21,526","4,574",20.559
Nusa Tenggara Timur,2022,16,4.711,2.770,"58,80",1.172,625,92,455,290,165,78.238,2.728,"11,931",547,672,"1,28",236,"5,495","25,436","175,33","1,913","167,496","5,703",218,"36,763",890,"28,358","2,167",310,"154,599","2,686","130,31","15,399","6,204",26.761
Kalimantan Barat,2022,28,4.736,4.012,"84,71",1.012,372,121,519,570,255,97.166,3.577,"49,668","22,859",880,"1,947","3,589","8,785","43,276","284,275","3,54","252,327","27,702",706,"92,994","2,185","58,913","8,554",290,"342,82","5,075","271,384","64,577","1,785",41.052
Kalimantan Tengah,2022,14,3.075,2.183,"70,99",1.125,437,118,570,1.183,233,92.438,2.570,"24,437","20,633",708,"3,369",101,"3,586","24,905","167,861","1,831","152,808","11,02","2,202","47,79",806,"33,051","3,154",204,"190,281","3,173","163,64","22,786",682,11.894
Kalimantan Selatan,2022,12,7.750,6.190,"79,87",1.526,620,324,582,432,278,210.396,3.812,"79,656","38,26","1,678","8,226","5,174","30,097","146,443","519,319","9,18","467,564","40,442","2,133","128,755","3,634","92,781","12,339","5,09","751,991","11,915","599,329","121,38","19,367",56.997
Kalimantan Timur,2022,9,8.951,8.319,"92,94",2.279,985,340,954,247,320,279.725,10.772,"156,903","96,342","4,864","6,898","8,672","60,572","128,917","544,482","6,689","504,72","32,411",662,"211,566","3,467","135,757","18,406","1,167",1.045.336,"11,478","849,572","169,779","14,507",110.772
Kalimantan Utara,2022,5,1.655,1.212,"73,23",415,171,52,192,528,89,53.255,1.439,"17,751","7,885",423,"3,709",128,"7,566","11,214","92,096",730,"80,209","11,131",26,"34,615",460,"19,64","3,652",180,"145,779","1,68","106,965","34,856","2,279",10.715
Sulawesi Utara,2022,16,3.373,2.122,"62,91",1.091,535,119,437,712,104,59.575,1.927,"14,915","4,019","1,238",677,205,"2,344","16,807","111,56","1,618","104,135","5,382",425,"24,02",636,"16,338","2,253",357,"130,832","3,304","101,709","20,992","4,827",8.553
Sulawesi Tengah,2022,11,4.000,1.928,"48,20",677,365,38,274,186,134,23.465,614,"4,168",523,405,165,53,"1,489","4,028","109,783","1,17","102,549","6,012",52,"21,357",256,"18,443","1,721",30,"52,491",479,"45,548","6,194",270,4.855
Sulawesi Selatan,2022,24,9.769,7.815,"80,00",3.394,1.450,744,1.200,239,695,231.092,3.835,"45,341","18,092","2,553","3,622","3,855","18,612","161,056","546,366","6,053","505,558","33,167","1,588","149,108","4,047","115,589","11,495","1,544","614,356","7,941","482,197","111,434","12,784",66.372
Sulawesi Tenggara,2022,11,2.067,1.478,"71,50",1.036,443,128,465,102,207,48.150,1.401,"11,573","1,553",499,624,153,"3,961","17,841","101,721","1,008","97,036","2,012","1,665","16,885",234,"10,927",706,396,"82,193",996,"69,412","9,108","2,678",6.254
Gorontalo,2022,6,1.483,1.075,"72,49",648,200,23,425,217,128,40.945,517,"7,906","4,819",427,327,78,849,"8,323","88,867","2,094","83,742","2,76",271,"22,172","1,104","12,767","1,252",173,"70,233","2,342","58,45","8,475",966,3.120
Sulawesi Barat,2022,5,811,486,"59,93",347,193,57,97,327,44,12.588,350,"3,526","2,649",210,303,68,"3,706","2,01","69,385","1,136","66,252","1,991",6,"10,012",372,"8,555",497,16,"34,968",681,"30,784","3,323",180,2.441
Maluku,2022,8,1.540,1.186,"77,01",507,213,41,253,2.642,73,23.192,3.062,"5,188",10,453,272,517,"1,741","10,72","61,082",789,"57,298","2,799",196,"10,386",189,"8,264",642,205,"54,276",883,"45,933","5,506","1,954",5.584
Maluku Utara,2022,8,1.808,1.618,"89,49",572,246,44,282,1.558,68,37.834,1.188,"20,199",401,708,656,129,"1,659","36,915","93,577","1,179","88,13","4,242",26,"24,787",608,"21,709","1,412",37,"91,084","1,963","81,505","7,266",350,4.758
Papua Barat,2022,5,511,328,"64,19",187,97,15,75,208,23,16.559,886,"1,27",250,149,596,71,579,"1,6","27,839",357,"25,773","1,573",136,"5,08",81,"3,666",452,290,"25,971",241,"17,704","5,278","2,747",5.326
Papua Barat Daya,2022,–,–,–,–,–,–,–,–,1.922,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua,2022,6,1.660,846,"50,96",340,155,35,150,314,47,35.852,1.405,"4,711",262,837,"1,335",889,"2,209","11,392","75,156","1,089","69,898","4,069",100,"19,637","1,082","14,554","1,338",144,"87,688","3,727","71,568","9,467","2,926",7.895
Papua Selatan,2022,–,–,–,–,–,–,–,–,772,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua Tengah,2022,–,–,–,–,–,–,–,–,421,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua Pegunungan,2022,–,–,–,–,–,–,–,–,347,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Aceh,2023,21,5.084,4.041,"79,48",1.683,620,165,898,246,328,139.095,1.060,"34,579","15,655","1,103","2,33",845,"4,729","36,97","335,881","3,933","294,613","36,461",874,"76,182","1,865","51,169","4,172",937,"232,126","5,647","196,604","25,537","4,338",21.542
Sumatera Utara,2023,41,14.078,12.604,"89,53",3.915,1.242,597,2.076,323,893,286.622,3.094,"132,593","43,825","18,174","9,188","1,597","29,691","137,368","939,782","9,346","838,949","90,943",544,"347,335","11,314","251,107","33,728","1,575","930,848","14,529","722,955","185,221","8,144",58.752
Sumatera Barat,2023,18,7.417,5.728,"77,23",1.696,652,219,825,259,393,129.989,5.731,"15,689","9,526","1,43","1,863","6,066","5,798","80,976","613,417","4,241","585,362","22,524","1,29","108,988","2,441","85,411","8,646","1,11","394,351","4,335","325,289","60,157","4,57",46.092
Riau,2023,26,2.716,1.746,"64,29",992,463,74,455,620,208,46.243,11.498,"10,055","19,995",492,658,200,"3,18","11,805","98,574","1,078","85,589","11,777",130,"21,458",472,"15,666","3,844",71,"102,354","1,503","76,033","24,608",209,19.454
Jambi,2023,11,4.931,3.156,"64,00",1.335,459,147,729,92,201,97.568,1.387,"50,313","16,464","1,139","1,388",642,"4,135","13,39",1.049.011,"6,622",1.022.377,"19,546",466,"62,874","1,383","45,515","3,939",344,"276,462","4,671","236,781","30,743","4,266",43.718
Sumatera Selatan,2023,18,10.889,9.364,"86,00",2.675,1.024,519,1.132,397,420,209.177,2.328,"52,515","43,378","5,909","2,031",525,"13,575","47,442","871,651","13,838","795,467","60,975","1,371","209,103","2,872","144,941","20,667",179,"745,679","5,718","568,833","169,23","1,898",73.678
Bengkulu,2023,9,1.719,1.351,"78,59",672,339,49,284,177,98,43.568,1.243,"12,414","3,614",709,599,200,"9,975","4,73","100,772","1,176","93,806","5,515",275,"26,155",499,"17,124","1,229",56,"89,939","1,061","77,804","9,527","1,547",11.097
Lampung,2023,44,1.951,1.516,"77,70",620,209,38,373,591,134,33.616,1.197,"3,693","3,556",364,"1,35",117,"11,073","32,047","92,604","1,259","86,106","4,92",319,"20,162",412,"15,452","1,646",569,"101,53","1,37","78,449","13,806","7,905",6.383
Kepulauan Bangka Belitung,2023,7,1.208,1.120,"92,72",341,114,44,183,267,81,22.181,657,"8,755","1,722",720,579,363,"2,291","9,852","36,759",394,"34,904","1,417",44,"9,154",111,"6,797",416,34,"51,402",509,"45,91","4,451",532,3.885
Kepulauan Riau,2023,13,4.734,4.169,"88,07",890,371,119,400,203,183,115.239,1.903,"78,236","25,798","1,534","3,995","9,891","25,847","44,438","362,609","3,103","309,117","50,362",27,"98,391","3,864","67,735","22,854",5,"556,7","8,105","300,182","248,36",54,70.047
DKI Jakarta,2023,5,20.302,19.588,"96,48",2.069,748,426,895,82,568,474.754,3.085,"178,463","37,39","3,95","4,306","18,431","138,58","607,198","969,676","5,917","829,093","134,655",11,"520,911","6,084","264,661","112,555","1,456",3.129.444,"8,464",1.786.417,1.315.357,"19,206",68.589
Jawa Barat,2023,24,25.055,19.547,"78,02",7.768,2.570,841,4.357,160,1.715,871.766,8.199,"121,927","112,731","19,962","15,043","10,214","63,622","468,997",2.178.409,"38,097",2.038.544,"97,85","3,918","473,491","10,094","326,819","33,711","13,73",2.954.169,"31,36",2.386.952,"446,999","88,857",203.725
Jawa Tengah,2023,42,34.606,26.622,"76,93",6.598,2.545,943,3.110,206,1.552,627.345,11.711,"140,055","47,115","15,482","14,706","13,77","160,349","389,237",2.018.573,"29,691",1.895.821,"81,349","11,712","549,471","12,844","406,739","28,966","7,702",2.165.651,"31,891",1.815.010,"288,822","29,927",230.235
D.I Yogyakarta,2023,6,2.786,2.333,"83,74",840,419,78,343,21,135,78.066,1.829,"51,512","7,278",906,"1,182",816,"3,288","38,538","227,576","3,889","218,879","3,278","1,53","50,923","1,084","38,172","1,98",762,"253,138","4,468","215,837","25,353","7,479",19.590
Jawa Timur,2023,38,33.231,28.003,"84,27",6.280,2.521,588,3.171,NA,1.249,603.692,14.078,"356,902","64,76","5,23","11,347","10,572","84,409","577,286",2.508.642,"37,042",2.334.744,"125,579","11,277","778,124","18,063","483,09","73,812","18,141",2.564.829,"35,725",1.823.075,"580,829","125,2",266.081
Banten,2023,9,12.093,10.415,"86,12",1.480,323,297,860,76,546,198.256,1.931,"71,679","22,656","2,283","7,55","33,524","192,051","326,516","413,699","3,26","385,143","24,903",393,"267,597","1,764","78,18","60,309","117,95",1.479.378,"4,909","450,996","578,114","445,359",36.940
Bali,2023,20,8.955,7.853,"87,69",2.172,960,196,1.016,NA,244,244.113,3.811,"113,247","25,377","2,92","7,748","1,943","43,904","153,006","505,65","9,512","444,752","50,975",411,"154,099","2,716","104,122","14,975",650,"696,812","10,63","512,265","161,803","12,115",94.937
Nusa Tenggara Barat,2023,8,4.535,3.494,"77,05",1.281,514,139,628,NA,207,87.640,1.302,"6,51","5,39",879,"1,721","2,799","16,331","19,405","578,193","10,717","554,09","12,6",786,"72,434","1,747","52,135","2,528",785,"259,811","5,115","224,357","23,66","6,678",20.962
Nusa Tenggara Timur,2023,16,4.659,2.765,"59,35",1.238,577,128,533,NA,186,78.715,2.613,"11,392",691,538,"1,059",297,"2,57","20,375","171,209","1,76","163,824","5,44",185,"33,389",754,"28,221","2,008",283,"155,641","2,212","134,891","14,122","4,416",26.108
Kalimantan Barat,2023,28,4.960,4.206,"84,80",1.022,383,148,491,246,245,92.699,3.565,"50,222","25,829",974,"2,424","3,965","11,124","47,705","304,308","3,932","267,379","32,34",657,"98,04","2,648","61,223","10,081",309,"381,195","5,621","292,208","81,654","1,712",46.861
Kalimantan Tengah,2023,14,3.152,2.262,"71,76",1.071,399,135,537,323,214,92.687,2.750,"25,239","18,404",859,"3,454",144,"4,975","28,666","172,161","2,184","156,687","11,911","1,379","57,34",993,"35,839","3,809",312,"239,276","4,111","204,808","28,965","1,392",13.730
Kalimantan Selatan,2023,12,7.840,6.377,"81,34",1.484,584,342,558,259,299,206.473,4.456,"81,532","46,283","1,344","7,942","7,897","33,603","158,521","533,146","9,796","479,839","41,403","2,108","149,899","3,77","93,383","13,266","2,192","828,439","11,977","662,823","142,878","10,762",75.219
Kalimantan Timur,2023,9,10.346,9.231,"89,22",2.216,945,304,967,620,347,313.700,11.457,"162,14","116,581","5,244","10,069","8,629","56,851","151,788","569,897","7,076","526,182","35,975",664,"241,447","3,716","144,233","19,844",983,1.166.507,"13,47","950,547","190,178","12,312",119.399
Kalimantan Utara,2023,5,1.742,1.326,"76,12",383,159,41,183,92,91,58.342,1.641,"19,004","10,713",425,"4,156",184,"7,865","15,98","93,657",848,"81,382","11,418",9,"35,457",582,"20,622","4,071",160,"160,764","2,193","116,469","40,234","1,868",13.412
Sulawesi Utara,2023,18,4.479,2.873,"64,14",1.201,551,100,550,397,153,71.164,1.964,"17,387","3,793",827,578,319,"2,783","13,392","119,578","1,972","111,39","5,94",276,"28,05",668,"15,421","2,511",191,"129,844","3,545","98,496","24,145","3,657",10.829
Sulawesi Tengah,2023,11,4.022,1.978,"49,18",720,355,41,324,177,147,27.716,709,"4,475",525,475,255,34,"1,027","4,075","109,117","1,19","101,487","6,381",59,"23,333",252,"20,636","2,008",26,"52,016",526,"44,339","6,92",231,4.556
Sulawesi Selatan,2023,24,9.916,8.003,"80,71",3.594,1.586,651,1.357,591,766,245.441,4.413,"45,971","22,353","2,418","3,758","4,972","18,353","182,607","562,257","6,194","515,908","38,566","1,589","168,942","4,382","123,105","12,863","3,151","692,62","8,679","520,554","132,076","31,31",67.549
Sulawesi Tenggara,2023,12,1.348,1.041,"77,23",1.060,447,130,483,267,216,53.251,1.202,"10,657","1,183",732,622,233,"4,902","16,258","106,81","1,008","102,201","2,356","1,245","15,551",258,"11,18",747,416,"83,465","1,16","69,502","9,576","3,227",5.317
Gorontalo,2023,6,1.550,1.140,"73,55",642,221,54,367,203,164,39.065,570,"7,894","4,757",283,346,14,846,"11,94","79,007","1,769","74,507","2,615",116,"22,094","1,057","11,644","1,232",106,"66,608","1,95","55,74","8,08",838,3.171
Sulawesi Barat,2023,5,811,514,"63,38",413,208,70,135,82,53,15.099,341,"3,186","2,571",184,329,16,"5,569","2,298","74,102","1,32","70,571","2,189",22,"9,222",399,"8,285",527,9,"35,318",636,"30,458","4,064",160,3.213
Maluku,2023,9,1.791,1.439,"80,35",581,245,55,281,160,121,28.130,3.442,"5,834",11,559,339,340,"2,088","7,528","68,6",868,"64,367","3,171",194,"11,117",245,"9,314",750,148,"63,457","1,145","53,954","6,674","1,684",5.793
Maluku Utara,2023,9,1.878,1.709,"91,00",629,299,51,279,206,73,38.940,1.334,"20,248",424,531,447,151,"1,659","34,894","102,362","1,29","95,63","5,197",245,"27,997",532,"24,827","1,606",105,"111,669","1,899","100,26","8,773",736,5.632
Papua Barat,2023,3,191,169,"88,48",59,27,5,27,21,6,6.448,196,264,6,43,149,5,70,522,"15,561",153,"14,445",750,213,"3,143",51,"2,243",211,75,"12,184",96,"9,169","2,222",697,640
Papua Barat Daya,2023,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua,2023,3,1.520,726,"47,76",274,116,38,120,76,44,33.752,1.422,"3,278",290,278,66,405,"2,24","9,001","52,75",803,"48,37","3,501",76,"17,629",907,"11,775","1,164",139,"84,575","2,944","68,345","10,365","2,921",5.486
Papua Selatan,2023,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua Tengah,2023,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua Pegunungan,2023,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,–,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA